"username","source_type","source","html_url","state","created_at","closed_at","repository","title","type"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/64","closed",2024-11-18 10:13:57,2025-08-03 13:50:58,"ropensci/lightr","Address tzdata breaking changes","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/roweb3/pull/886","closed",2024-11-15 11:38:49,2025-08-03 13:50:58,"ropensci/roweb3","Add first draft for blog post on fork/upstream relationship","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/63","closed",2024-07-09 16:18:24,2025-08-03 13:50:58,"ropensci/lightr","Add future in Suggests","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/62","closed",2024-05-24 11:55:46,2025-08-03 13:50:58,"ropensci/lightr","Update test-coverage workflow from upstream","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/issues/61","closed",2024-03-21 18:52:16,2025-08-03 13:50:58,"ropensci/lightr","Release lightr 1.7.1","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/spelling/issues/82","open",2024-03-21 09:43:38,2025-08-03 13:50:58,"ropensci/spelling","`update_wordlist()` claims that it will remove from WORDLIST words from `SPELLING_WORDLIST`","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/60","closed",2024-03-18 11:17:28,2025-08-03 13:50:58,"ropensci/lightr","Run tests on mac M1","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/spelling/issues/80","closed",2024-02-14 10:17:59,2025-08-03 13:50:58,"ropensci/spelling","Add support to multiple WORDLISTs","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/59","closed",2023-07-26 12:31:54,2025-08-03 13:50:58,"ropensci/lightr","Try ignoring bib files in stats","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/spelling/issues/73","open",2023-06-19 15:39:25,2025-08-03 13:50:58,"ropensci/spelling","Add support for using multiple dictionaries / languages","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/58","closed",2023-06-11 11:37:09,2025-08-03 13:50:58,"ropensci/lightr","Pass parser arguments as `...` and add dedicated csv parser","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/issues/57","open",2023-06-09 16:30:39,2025-08-03 13:50:58,"ropensci/lightr","Review pkg verbosity","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/56","closed",2023-06-09 16:06:02,2025-08-03 13:50:58,"ropensci/lightr","Silence more warnings() in tests","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/issues/55","open",2023-06-09 14:07:20,2025-08-03 13:50:58,"ropensci/lightr","Allow passing a vector of paths in `where`","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/54","closed",2023-06-09 12:26:36,2025-08-03 13:50:58,"ropensci/lightr","Fix 'argument is of length zero' error","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/issues/52","open",2023-04-22 08:10:47,2025-08-03 13:50:58,"ropensci/lightr","Support for files produced by AvaSoft 8.4","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/51","closed",2023-04-21 07:54:34,2025-08-03 13:50:58,"ropensci/lightr","Mention maintainer google drive folder","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/software-review/issues/584","closed",2023-03-22 16:22:15,2025-08-03 13:50:58,"ropensci/software-review","xlcutter: Parse Batches of 'xlsx' Files Based on a Template","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/postdoc/issues/2","closed",2022-11-30 07:44:25,2025-08-03 13:50:58,"ropensci/postdoc","Manual includes functions marked with `@internal`","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/handlr/issues/34","open",2022-11-28 09:39:56,2025-08-03 13:50:58,"ropensci/handlr","Add `.zenodo.json` writer","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/50","closed",2022-11-06 20:13:56,2025-08-03 13:50:58,"ropensci/lightr","Use lintr to test that endian is always specified","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/49","closed",2022-11-05 14:00:51,2025-08-03 13:50:58,"ropensci/lightr","Add .lintr to .Rbuildignore","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/48","closed",2022-11-05 12:55:30,2025-08-03 13:50:58,"ropensci/lightr","Add NEWS about lintr","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/pull/47","closed",2022-11-03 12:19:41,2025-08-03 13:50:58,"ropensci/lightr","Add lintr","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/dev_guide/pull/501","closed",2022-08-23 12:32:27,2025-08-03 13:50:58,"ropensci/dev_guide","Add instructions to document defaults","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/issues/45","closed",2022-05-13 11:01:02,2025-08-03 13:50:58,"ropensci/lightr","Release lightr 1.7.0","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/dev_guide/issues/439","closed",2022-04-12 09:45:12,2025-08-03 13:50:58,"ropensci/dev_guide","Recommend / mandate that all defaults are clearly documented","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/cffr/issues/32","closed",2022-04-06 14:11:55,2025-08-03 13:50:58,"ropensci/cffr","Add function to create CITATION.cff from codemeta.json","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/issues/44","closed",2021-11-08 18:09:47,2025-08-03 13:50:58,"ropensci/lightr","Release lightr 1.6.2","pull_request"
"Bisaloo","org","ropensci","https://github.com/ropensci/lightr/issues/43","closed",2021-11-08 09:38:08,2025-08-03 13:50:58,"ropensci/lightr","Release lightr 1.6.1","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2915","open",2025-08-02 13:55:45,NA,"r-lib/lintr","Check for new function arguments in `backport_linter()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2908","open",2025-07-30 14:39:54,NA,"r-lib/lintr","Recommend `!is.unsorted()` instead of `identical(x, sort(x))` in `sort_linter()`","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2907","open",2025-07-30 12:43:08,NA,"r-lib/lintr","Implement ""auto"" r_version value in backport_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2898","open",2025-07-26 18:12:37,NA,"r-lib/lintr","Flag potential for optimized `rep()` calls","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2894","closed",2025-07-26 14:46:35,NA,"r-lib/lintr","Update sprintf_linter() to lint constant strings","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2892","closed",2025-07-25 20:52:37,NA,"r-lib/lintr","Fix matrix_apply_linter() with interweaved comments","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2891","open",2025-07-25 12:16:20,NA,"r-lib/lintr","Recommend factoring logical negation outside of loops","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2890","closed",2025-07-24 14:47:45,NA,"r-lib/lintr","Support cases of stop(sprintf( in condition_call_linter","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2888","closed",2025-07-23 10:57:30,NA,"r-lib/lintr","Apply condition_call_linter() only on string literals","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2887","open",2025-07-22 09:19:48,NA,"r-lib/lintr","New xor_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/issues/2886","open",2025-07-22 09:12:33,NA,"r-lib/lintr","New apply_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2885","closed",2025-07-22 08:00:12,NA,"r-lib/lintr","Create all_equal_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2883","closed",2025-07-19 08:20:23,NA,"r-lib/lintr","Support case where specified method ignores mode in download_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2882","closed",2025-07-16 12:53:03,NA,"r-lib/lintr","Create download_file_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2881","closed",2025-07-15 20:29:14,NA,"r-lib/lintr","Enable unreachable_code_linter() in our own linting suite","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/lintr/pull/2861","closed",2025-06-04 11:40:37,NA,"r-lib/lintr","Clarify error message for backport_linter()","pull_request"
"Bisaloo","org","r-lib","https://github.com/r-lib/backports/pull/89","open",2025-05-30 18:52:45,NA,"r-lib/backports","Fix rcmdcheck GHA","pull_request"
